feature1,feature2,feature3,Floodprediction,Landslideprediction
33.4,65,1.1,0,0.11837999999999982
32.6,70,1.1,0,0.11837999999999982
28.7,79,2.5,0,0.11837999999999982
32.7,64,2.2,0,0.11837999999999982
32.8,62,2.6,0,0.11837999999999982
27.9,82,3.2,0,0.11837999999999982
32.7,67,3.2,0,0.11837999999999982
34.2,58,1.6,0,0.11837999999999982
34.4,54,1.4,0,0.11837999999999982
32.5,55,1.8,0,0.11837999999999982
28.6,24,2.1,0,0.11837999999999982
28.6,24,2.1,20.927,77.7476,0,0.11837999999999982
28.6,24,2.1,0,0.11837999999999982
28.5,24,2.5,Amravati,Maharashtra,0,0.11837999999999982
28.5,24,2.5,Amravati,Maharashtra,0,0.11837999999999982
28.5,24,2.5,Amravati,Maharashtra,0,0.11837999999999982
26.8,24,1.5,Lihida,Maharashtra,0,0.11837999999999982
26.6,90,2,Kannur,Kerala,0,0.024000000000000018
0,77,1.8,Kannur,Kerala,0,0.11837999999999983
0,72,1.5,Taliparamba,Kerala,0,0.11837999999999983
0,67,1.1,Ponnampete taluk,Karnataka,0,0.11837999999999983
0,69,0.4,Payyannur Taluk,Kerala,0,0.11837999999999983
0,77,1.8,Kannur,Kerala,0,0.11837999999999983
0,70,2.8,Kannur,Kerala,0,0.11837999999999983
0,70,2.8,Kannur,Kerala,0,0.11837999999999983
0,63,1.9,Payyannur Taluk,Kerala,0,0.11837999999999983
0,68,1.7,Virajpet taluk,Karnataka,0,0.11837999999999983
0,29,1.9,Mundagoda taluk,Karnataka,0,0.11837999999999983
0,88,5.4,Tulcea,Unknown,0,0.1568999999999996
3.5,95,120,Kannur,Kerala,1,0.1568999999999996
3.5,95,120,Kannur,Kerala,1,0.1568999999999996
3.5,95,120,Taliparamba,Kerala,1,0.1568999999999996
3.5,95,120,Payyannur Taluk,Kerala,1,0.1568999999999996
3.5,95,120,Iritty,Kerala,1,0.1568999999999996
3.5,95,120,Ponnampete taluk,Karnataka,1,0.1568999999999996
3.5,95,120,Virajpet taluk,Karnataka,1,0.1568999999999996
3.5,95,120,Payyannur Taluk,Kerala,1,0.1568999999999996
0,71,3,Kannur,Kerala,0,0.11837999999999983
0,71,3,Kannur,Kerala,0,0.11837999999999983
0,64,2.4,Payyannur Taluk,Kerala,0,0.11837999999999983
0,71,3,Kannur,Kerala,0,0.11837999999999983
2.5,95,30,Kannur,Kerala,1,0.1568999999999996
2.5,95,30,Kannur,Kerala,1,0.1568999999999996
2.5,95,30,Kannur,Kerala,1,0.1568999999999996
2.5,95,30,Kannur,Kerala,1,0.1568999999999996
2.5,95,30,Kannur,Kerala,1,0.1568999999999996
2.5,95,30,Kannur,Kerala,1,0.1568999999999996
2.5,95,3,Kannur,Kerala,0,0.024000000000000018
2.5,95,25,Kannur,Kerala,1,0.1568999999999996
2,95,25,Kannur,Kerala,1,0.1568999999999996
6,95,25,Kannur,Kerala,1,0.1568999999999996
6,95,25,Kannur,Kerala,1,0.1568999999999996
0,72,3.6,Kannur,Kerala,19.05367660522461,0,0.24401999999999957
0,72,3.6,Kannur,Kerala,19.05367660522461,0,0.24401999999999957
0,66,2.4,Taliparamba,Kerala,582.5887451171875,0,0.11837999999999983
0,nan,nan,Kannur,Kerala,19.05367660522461,0,0.11837999999999983
0,nan,nan,Kannur,Kerala,19.05367660522461,0,0.11837999999999983
0,nan,nan,Payyannur Taluk,Kerala,73.34285736083984,0,0.11837999999999983
0,nan,nan,Kannur,Kerala,19.05367660522461,0,0.11837999999999983
0,nan,nan,Kannur,Kerala,19.05367660522461,0,0.11837999999999983
0,nan,nan,Unknown,Yambol,217.2525634765625,0,0.24401999999999957
0.28,nan,nan,Unknown,Yambol,230.4297637939453,1,0.24401999999999957
0.24,nan,nan,Unknown,Gabrovo,715.2942504882812,1,0.24401999999999957
0,nan,nan,Unknown,Lovech,1194.900146484375,0,0.24401999999999957
2.75,nan,nan,Iritty,Kerala,104.48974609375,1,0.11837999999999982
0,nan,nan,Kannur,Kerala,19.05367660522461,0,0.11837999999999983
0,nan,nan,Kannur,Kerala,19.05367660522461,0,0.11837999999999983
0,nan,nan,Taliparamba,Kerala,65.48914337158203,0,0.024000000000000018
0,nan,nan,Madikeri taluku,Karnataka,1055.099487304688,0,0.024000000000000018
0,nan,nan,Kannur,Kerala,58.42639541625977,0,0.024000000000000018
0,nan,nan,Iritty,Kerala,60.0406379699707,0,0.024000000000000018
0.18,nan,nan,Bantwal taluk,Karnataka,86.37035369873047,1,0.11837999999999982
0,nan,nan,Heggadadevanakote taluk,Karnataka,756.9737548828125,0,0.024000000000000018
0,nan,nan,Manjeswaram,Kerala,73.00347900390625,0,0.11837999999999983
0,nan,nan,Kasaragod,Kerala,79.57710266113281,0,0.024000000000000018
0,nan,nan,Kasaragod,Kerala,89.52600860595703,0,0.024000000000000018
0,nan,nan,Vellarikkundu,Kerala,123.2170257568359,0,0.024000000000000018
0,nan,nan,Vellarikkundu,Kerala,474.7559814453125,0,0.024000000000000018
0,nan,nan,Kasaragod,Kerala,123.1033401489258,0,0.024000000000000018
0,nan,nan,Manjeswaram,Kerala,59.59059524536133,0,0.11837999999999983
0,nan,nan,Piriyapattana taluk,Karnataka,853.0838623046875,0,0.11837999999999983
0,nan,nan,Karkala taluk,Karnataka,103.1052017211914,0,0.11837999999999983
0,nan,nan,Sagara taluk,Karnataka,619.5877685546875,0,0.024000000000000018
0,nan,nan,Sagara taluk,Karnataka,595.4121704101562,0,0.024000000000000018
0,nan,nan,Canacona,Goa,114.1738815307617,0,0.024000000000000018
0,nan,nan,Unknown,Maharashtra,133.33740234375,0,0.11837999999999983
0,nan,nan,Unknown,Eastern Province,327.9284973144531,0,0.11837999999999983
0,nan,nan,Kannur,Kerala,19.05367660522461,0,0.11837999999999983
0,nan,nan,Kannur,Kerala,19.05367660522461,0,0.11837999999999983
0,nan,nan,Payyannur Taluk,Kerala,131.8751525878906,0,0.024000000000000018
0,nan,nan,Virajpet taluk,Karnataka,860.4241333007812,0,0.024000000000000018
0,nan,nan,Payyannur Taluk,Kerala,41.89635467529297,0,0.024000000000000018
0,nan,nan,Iritty,Kerala,236.5765991210938,0,0.024000000000000018
0,nan,nan,Taliparamba,Kerala,75.60072326660156,0,0.024000000000000018
0,nan,nan,Thalassery,Kerala,381.9999389648438,0,0.024000000000000018
0,nan,nan,Iritty,Kerala,224.1784057617188,0,0.024000000000000018
